titulo,autor,ubicacion,portada,categoria
TRIZANO,JORGE LARA CARMONA,PA-E13,,"BIOGRAFIA, NO FICCION, HISTORIA, CHILE"
MANUAL DE SOBREVIVENCIA,JORGE N. ARTIGAS,PA-E14,,"EDUCACION, NATURISMO"
GUERRA IDEOLOGICA ,JORGE SANCHEZ FUENZALIDA,PA-E15,,"ENSAYO, POLITICA"
HISTORIA DEL ARTE,JOSE FRANCISCO RAFOLS,PA-E16,,"HISTORIA, ARTE "
GENGIS KHAN EL CONQUISTADOR ,JOSE FRECHES ,PA-E17,,"HISTORIA, NOVELA "
TERCIOS,JOSE JAVIER ESPARZA,PA-E18,,"HISTORIA, ESPAÑA"
SAN QUINTIN,JOSE JAVIER ESPARZA,PA-E19,,"NOVELA, HISTORIA, ESPAÑA"
EL SECRETO DE SPINOZA,JOSE RODRIGUES DOS SANTOS,PA-E20,,"NOVELA, HISTORIA "
VINO ITALIANO,JOSEPH BASTIANICH,PA-E21,,"HISTORIA, VINO"
MITOS Y LEYENDAS DEL PUEBLO DE CHILOTE,JUAN ANDRES PIÑA,PA-E22,,"CULTURA, CHILE"
MEMORIAS DEL EDECAN DE ALLENDE,JUAN JOSE MELA TORO,PA-E23,,"HISTORIA, CHILE"
LOS TERCIOS NO SE RINDEN,JUAN PEREZ FONCEA,PA-E24,,"NOVELA, HISTORIA, ESPAÑA"
EL HEROE DEL CARIBE,JUAN PEREZ FONCEA,PA-E25,,"NOVELA, HISTORIA, ESPAÑA"
LAS RUNAS Y EL SENDERO DE LA INICIACION,JUAN RICARDO CESPEDES,PA-E26,,ESOTERICO
LAS RUNAS Y EL SENDERO DE LA INICIACION,JUAN RICARDO CESPEDES,PA-E27,,ESOTERICO
SEMIOTICA 1,JULIA KRISTEVA,PA-E28,,FILOSOFIA
DISPARA YO YA ESTOY MUERTO,JULIA NAVARRO,PA-E29,,"HISTORIA, NOVELA, "
EL PODER DE LA ESPERANZA ,JULIAN MELGOSA,PA-E30,,AUTOAYUDA
SUMERGIBLES ALEMANES EN ARGENTINA Y SUDAMERICA,JULIO B. MUTTI,PA-E31,,"HISTORIA, SEGUNDA GUERRA MUNDIAL"
RAYUELA,JULIO CORTAZAR,PA-E32,,"NOVELA, LITERATURA, CLASICO"
BERSERK TOMO 24,KENTARO MIURA,PA-E33,,MANGA
GRANADEROS ,KURT PANZER MEYER,PA-E34,,"HISTORIA, BIOGRAFIA, SEGUNDA GUERRA MUNDIAL "
WOLF,LARA TAVEIRNE,PA-E35,,"NOVELA, HOLANDES"
ORO EN LOS VIÑEDOS,LAURA CATENA,PA-E36,,"HISTORIA, VINO"
QUE ES EL ARTE ?,LEON TOLSTOI,PA-E37,,"ARTE, ENSAYO"
GUERRA Y PAZ,LEV TOLSTOI,PA-E38,,"CLASICO, NOVELA "
EL CORDON DE PLATA,LOBSANG RAMPA,PA-E39,,"ESOTERICO, NO FICCION, BIOGRAFIA"
LA CAVERNA DE LOS ANTEPASADOS,LOBSANG RAMPA,PA-E40,,"ESOTERICO, NO FICCION, BIOGRAFIA"
UNA LUZ EN LA OSCURIDAD,LOPSANG RAMPA,PA-E41,,"ESOTERICO, NO FICCION, BIOGRAFIA"
EL NEANDERTAL DESNUDO,LUDOVIC SLIMAK,PA-E42,,"ENSAYO, HISTORIA, DEBATE"
POLITICA ECONOMICA,LUDWIG VON MISES,PA-E43,,"ENSAYO, POLITICA, ECONOMIA "
CON OJOS DE GIGANTES,LUIS FELIPE BARRIENTOS,PA-E44,,CIENCIAS
OPERACIONES MILITARES DE LA GUERRA DE ESPAÑA 1936-1939,LUIS MARIA DE LOJENDIO,PA-E45,,"HISTORIA, ESPAÑA"
HISTORIA DE UNA GAVIOTA Y DEL GATO QUE LE ENSEÑO A VOLAR,LUIS SEPULVEDA,PA-E46,,NOVELA
BEAGLE 78 EN LA ESTELA DE PRAT,LUIS SIEBERT CRISTI,PA-E47,,"HISTORIA, CHILE, CONFLICTO BEAGLE"
99 CONSEJOS SOBRE PUROS,LUIS T. MELGAR GIL,PA-E48,,PUROS
LA CANCION DE AQUILES,MADELINE MILLER,PA-E49,,"NOVELA, HISTORIA, GRECIA"
EYES IN GAZA ,MADS GILBERT,PA-E50,,"FOTOGRAFIA, ENSAYO, CRITICA, INGLES"
CALEUCHE,MAGDALENA PETIT,PA-E51,,"NOVELA, CHILE"
MISTERIOSA BUENOS AIRES,MANUEL MUJICA LAINEZ,PA-E52,,NOVELA
MEDITACIONES,MARCO AURELIO ,PA-E53,,"CLASICO, FILOSOFIA "
EL ASESINATO DE SOCRATES,MARCOS CHICOT,PA-E54,,"NOVELA, HISTORIA"
JOAN MANUEL SERRAT,MARGARITA RIVIERE,PA-E55,,BIOGRAFIA
ARTIFICIAL,MARIANO SIGMAN,PA-E56,,"ENSAYO, CIENCIA, DEBATE"
EL PODER DE LAS PALABRAS,MARIANO SIGMAN,PA-E57,,AUTOAYUDA 
LA CONSPIRACION DE ACUARIO,MARILYN FERGUSON,PA-E58,,ESOTERICO
VIAJE AL BIG BANG,MARIO HAMUY,PA-E59,,CIENCIAS
LE DEDICO MI SILENCIO ,MARIO VARGAS LLOSA ,PA-F01,,NOVELA
MEMENTO MORI,MATIAS REEVES,PA-F02,,FILOSOFIA
CAMINO A LA CIMA,MAURICIO PURTO ,PA-F03,,BIOGRAFIA 
OPERACION CASTIGO,MAX HASTINGS,PA-F04,,"HISTORIA, EUROPA, SEGUNDA GUERRA MUNDIAL"
LA CRISIS DE LOS MISILES DE CUBA 1962,MAX HASTINGS,PA-F05,,"ENSAYO, HISTORIA"
BLACKWATER LA RIADA I,MICHAEL MCDOWELL,PA-F06,,"NOVELA, TERROR"
DON QUIJOTE DE LA MANCHA (RESUMEN),MIGUEL DE CERVANTES,PA-F07,,"NOVELA, CLASICO"
DON QUIJOTE DE LA MANCHA,MIGUEL DE CERVANTES ,PA-F08,,"NOVELA, CLASICO"
BERNARDO DE GALVEZ ,MIGUEL DEL REY,PA-F09,,"HISTORIA, ESPAÑA"
EL CICLO RACIAL CHILENO,MIGUEL SERRANO,PA-F10,,"ESOTERICO, CHILE"
QUIEN LLAMA EN LOS HIELOS ?,MIGUEL SERRANO,PA-F11,,"ESOTERICO, CHILE"
NI POR MAR NI POR TIERRA,MIGUEL SERRANO,PA-F12,,"ESOTERICO, CHILE"
LA BRUJULA DEL ALMA ESTA MARCANDO EL SUR,MIGUEL SERRANO,PA-F13,,"ESOTERICO, CHILE"
MAYA LA REALIDAD ES UNA ILUSION,MIGUEL SERRANO,PA-F14,,ESOTERICO
MAYA LA REALIDAD ES UNA ILUSION,MIGUEL SERRANO,PA-F15,,ESOTERICO
MANU POR EL HOMBRE QUE VENDRA,MIGUEL SERRANO,PA-F16,,ESOTERICO 
EMINENCIA,MORRIS WEST,PA-F17,,"NOVELA, THRILLER"
LA ULTIMA CONFESION ,MORRIS WEST,PA-F18,,"NOVELA, HISTORIA, THRILLER, FICCION, BIOGRFIA"
EL OJO DEL SAMURAI,MORRIS WEST,PA-F19,,"NOVELA, POLITICA, THRILLER"
EL ABOGADO DEL DIABLO,MORRIS WEST,PA-F20,,"NOVELA, FICCION, THRILLER"
MAXIMAS Y PENSAMIENTO,NAPOLEON,PA-F21,,"FILOSOFIA, HISTORIA, BIOGRAFIA "
THE SCARLETT LETTER,NATHANIEL HAWTHORNE ,PA-F22,,"NOVELA, INGLES"
VENCER O MORIR: CRISIS DE 1978,NAVAL 77,PA-F23,,"HISTORIA, ENSAYO, CHILE, MILITAR, CONFLICTO BEAGLE"
ASTROFISICA PARA GENTE APURADA ,NEIL DEGRASSE TYSON,PA-F24,,CIENCIA
MITOS NORDICOS,NEIL GAIMAN,PA-F25,,MITOLOGIA
MOMENTOS DE LA ANTIGUA ROMA QUE CAMBIARON EL MUNDO,NESTOR F. MARQUES,PA-F26,,"ENSAYO, HISTORIA, ROMA"
EL MISTERIO DE BELICENA VILLCA ,NIMROD DE ROSARIO,PA-F27,,"NOVELA, ESOTERICO"
EL FANTASMA DE CANTERVILLE,OSCAR WILDE,PA-F28,,"NOVELA,CLASICO"
TIGRES EN EL BARRO,OTTO CARIUS,PA-F29,,"HISTORIA, BIOGRAFIA, SEGUNDA GUERRA MUNDIAL,  MILITAR"
ORDEN Y PATRIA ES NUESTRO LEMA ,PABLO ISLA MONSALVE,PA-F30,,"ENSAYO, NO FICCION, HISTORIA, POLITICA, CHILE"
"ARTE, VISUALIDAD E HISTORIA",PABLO OYARZUN,PA-F31,,"ENSAYO, ARTE"
ATROFIA,PABLO PANIAGUA PRIETO,PA-F32,,"ENSAYO, ECONOMIA, POLITICA, CHILE"
BONAPARTE 1769-1802,PATEICE GUENIFFEY,PA-G01,,"HISTORIA, BIOGRAFIA"
ERCILLA Y LAS CONTRADICCIONES DEL IMPERIO,PATRICIA CERDA,PA-G02,,"HISTORIA, CHILE "
LA GUERRA EN CAUTIVERIO,PATRICIO IBARRA CIFUENTES,PA-G03,,"HISTORIA, GUERRA DEL PACIFICO, CHILE"
DOY POR SOÑADO TODO LO VIVIDO,PATRICIO MANNS,PA-G04,,BIOGRAFIA
THE NAME OF THE WIND,PATRICK ROTHFUSS,PA-G05,,"NOVELA, INGLES"
INTELECTUALES,PAUL JOHNSON,PA-G06,,"ENSAYO, CIENCIA, LITERATURA"
NOVIEMBRE 1942 UNA HISTORIA ,PETER ENGLUND,PA-G07,,"HISTORIA, SEGUNDA GUERRA MUNDIAL"
EL ULTIMO ASESINO,PETER STOTHARD,PA-G08,,"NOVELA, HISTORIA, ROMA"
BATALLA DE VALPARAISO,PIERO CASTAGNETO,PA-G09,,"HISTORIA, CHILE"
SENTENCIA Y VERSOS DE ORO,PITAGORAS,PA-G10,,"CLASICO, FILOSOFIA"
EL CODIGO SECRETO,PRIYA HEMENWAY,PA-G11,,"ENSAYO, NO FICCION, ARTE"
BAQUEDANO,RAFAEL GONZALEZ,PA-G12,,"BIOGRAFIA, NO FICCION, HISTORIA, MILITAR, CHILE"
LOS PONCHOS A LA CINTURA,RAFAEL GONZALEZ AMARAL,PA-G13,,"NOVELA, HISTORIA, GUERRA DEL PACIFICO, CHILE, MILITAR"
¿PORQUE CHILE GANO LA GUERRA DEL PACIFICO?,RAFAEL MELLAFE MATURANA,PA-G14,,"ENSAYO, HISTORIA, NO FICCION, MILITAR, CHILE, GUERRA DEL PACIFICO"
TACNA LA BATALLA TRASCENDENTAL,RAFAEL MELLAFE MATURANA,PA-G15,,"ENSAYO, HISTORIA, NO FICCION, MILITAR, CHILE, GUERRA DEL PACIFICO"
LAS BATALLAS POR LIMA ,RAFAEL MELLAFE MATURANA,PA-G16,,"ENSAYO, HISTORIA, NO FICCION, MILITAR, CHILE, GUERRA DEL PACIFICO"
LA GUERRA DEL PACIFICO,RAFAEL MELLAFE MATURANA,PA-G17,,"ENSAYO, HISTORIA, NO FICCION, MILITAR, CHILE, GUERRA DEL PACIFICO"
21 DE MAYO DE 1879 IQUIQUE Y PUNTA GRUESA ,RAFAEL MELLAFE MATURANA,PA-G18,,"ENSAYO, HISTORIA, NO FICCION, MILITAR, CHILE, GUERRA DEL PACIFICO"
JAMAS VENCIDOS,RAUL OLMEDO DROGUETT,PA-G19,,POESIA
EL PATIO DEL PODER,RENATO GARIN GONZALEZ,PA-G20,,"ENSAYO, POLITICA"
SOLDADOS DE UNA GUERRA QUE NO FUE,RICARDO AVELLO AVILA,PA-G21,,"HISTORIA, CHILE, CONFLICTO BEAGLE, CRONICA, NO FICCION"
JUAN SALVADOR GAVIOTA ,RICHARD BACH,PA-G22,,NOVELA
EL ARTE DE LA GUERRA: PASATIEMPOS ESTRATEGICOS,RICHARD GALLAND,PA-G23,,AUTOAYUDA
LAS PRUEBAS DE APOLO EL ORACULO OCULTO,RICK RIORDAN,PA-G24,,"NOVELA, FANTASIA"
HEROES NORDICOS,RICK RIORDAN,PA-G25,,MITOLOGIA
THE 33 STRATEGIES OF WAR ,ROBERT GREENE,PA-G26,,"AUTOAYUDA, HISTORIA, MILITAR"
HISTORIA DE ALEMANIA,ROBERT HERMANN TENBROCK,PA-G27,,"HISTORIA, ALEMANIA"
ROMA UNA HISTORIA CULTURAL,ROBERT HUGHES,PA-G28,,"HISTORIA, ROMA"
THE STRANGE CASE OF DR JEKYLL AND MR HYDE,ROBERT LOUIS STEVENSON,PA-G29,,"NOVELA, THRILLER, INGLES"
PADRE RICO PADRE POBRE,ROBERT T. KIYOSAKI,PA-G30,,"ECONOMIA, AUTOAYUDA "
NUESTROS AÑOS VERDE OLIVO,ROBERTO AMPUERO,PA-G31,,"NOVELA, HISTORIA "
NUNCA VOLVERE A BERLIN,ROBERTO AMPUERO,PA-G32,,"NOVELA, HISTORIA "
EL CLUB DE LAS 5 AM,ROBIN SHARMA,PA-G33,,AUTOAYUDA 
HEIDEGGER Y LA EXISTENCIA PROPIA,RODRIGO BRITO PASTRANA,PA-G34,,"ENSAYO, FILOSOFIA "
LOS INMORTALES DEL MORRO DE ARICA ,RODRIGO UGALDE PRIETO,PA-G35,,"HISTORIA, CHILE, NO FICCION, MILITAR, GUERRA DEL PACIFICO"
"BATALLON ATACAMA, EL MAS BRAVO ENTRE LOS BRAVOS",RODRIGO UGALDE PRIETO,PA-G36,,"ENSAYO, HISTORIA, CHILE, GUERRA DEL PACIFICO "
LA ODISEA DE CABEZA DE VACA,RUBEN CABA ,PA-G37,,"HISTORIA, AMERICA"
SCHOPENHAUER Y LOS AÑOS SALVAJES DE LA FILOSOFIA ,RUDIGER SAFRANSKI,PA-G38,,"ENSAYO, FILOSOFIA"
ROMA SOY YO,SANTIAGO POSTEGUILLO,PA-G39,,"NOVELA, HISTORIA, ROMA"
LAS LEGIONES MALDITAS,SANTIAGO POSTERGUILLO,PA-G40,,"NOVELA, HISTORIA, ROMA"
EL DELFIN,SERGIO BAMBAREN,PA-G41,,NOVELA
HEILIGE RUNENMACHT,SIEGFRIED ADOLF KUMMER,PA-G42,,"ALEMAN, ESOTERICO"
HEILIGE RUNENMACHT,SIEGFRIED ADOLF KUMMER,PA-G43,,"ESOTERICO, ALEMAN"
EDDA MENOR,SNORRI,PA-G44,,"MITOLOGIA, POESIA, LITERATURA"
NOVELA DE AJEDREZ,STEFAN ZWEIG,PA-G45,,NOVELA
UNDER THE DOME,STEPHEN KING,PA-G46,,"NOVELA, CIENCIA FICCION, THRILLER "
EL ARTE DE LA GUERRA,SUN TZU,PA-G47,,"CLASICO, MILITAR "
LAS DOS RAZAS LA CHILENA Y LA PERUANA,T. DIMITRIJEVICH,PA-G48,,"ESOTERICO, HISTORIA"
EL GATO QUE VENIA DEL CIELO,TAKASHI HIRAIDE,PA-G49,,NOVELA
CRUZADA EN JEANS,THEA BECKMAN,PA-G50,,NOVELA
MIGUEL ANGEL LA OBRA COMPLETA,THOMAS POPPER,PA-G51,,"FOTOGRAFIA, HISTORIA, EUROPA"
LA GUARDIA PRETORIANA DEL III REICH,TIKAL,PA-G52,,"FOTOGRAFIA, HISTORIA, SEGUNDA GUERRA MUNDIAL, MILITAR"
CHEMICAL SECRET,TIM VICARY,PA-G53,,"NOVELA, THRILLER, INGLES"
RUBICON,TOM HOLLAND,PA-G54,,"ENSAYO, NO FICCION, HISTORIA, ROMA"
DINASTIA ,TOM HOLLAND,PA-G55,,"ENSAYO, NO FICCION, HISTORIA, ROMA"
EL PENDULO DE FOUCAULT,UMBERCO ECO,PA-H01,,"NOVELA, FICCION"
EL SUPERHOMBRE DE MASAS,UMBERTO ECO,PA-H02,,"ENSAYO, NO FICCION, LITERATURA"
UNIVERSIDAD DE SALAMANCA TOMO 1,UNIVERSIDAD DE SALAMANCA,PA-H03,,"HISTORIA, CIENCIA, ESPAÑA "
UNIVERSIDAD DE SALAMANCA TOMO 2,UNIVERSIDAD DE SALAMANCA,PA-H04,,"HISTORIA, CIENCIA, ESPAÑA "
EL LIBRO DE URANTIA,URANTIA,PA-H05,,"HISTORIA, ESOTERICO "
EL PROGRESISMO Y LA CULTURA DE LA MUERTE,VANESSA KAISER,PA-H06,,"POLITICA, CHILE"
ENEIDA,VIRGILIO,PA-H07,,"HISTORIA, GRECIA, CLASICO"
2DA GUERRA MUNDIAL LOS MAS FAMOSOS REPORTAJES GRAFICOS TOMO 1,VISCONTEA,PA-H08,,"FOTOGRAFIA, HISTORIA, SEGUNDA GUERRA MUNDIAL"
2DA GUERRA MUNDIAL LOS MAS FAMOSOS REPORTAJES GRAFICOS TOMO 2,VISCONTEA,PA-H09,,"FOTOGRAFIA, HISTORIA, SEGUNDA GUERRA MUNDIAL"
2DA GUERRA MUNDIAL LOS MAS FAMOSOS REPORTAJES GRAFICOS TOMO 3,VISCONTEA,PA-H10,,"FOTOGRAFIA, HISTORIA, SEGUNDA GUERRA MUNDIAL"
ELON MUSK,WALTER ISAACSON,PA-H11,,BIOGRAFIA 
TIEMPO DE MAGOS,WOLFRAM EILENBERGER,PA-H12,,"NOVELA, FILOSOFIA "
ESPERANDO AL GATO,XEBE DIAS,PA-H13,,POESIA
EL MAESTRO DE GO,YASUNARI KAWABATA,PA-H14,,NOVELA
NEXUS,YUVAL NOAH HARARI ,PA-H15,,"ENSAYO, CIENCIA, DEBATE"
CUBA (TURISMO),HARVARD,PA-H16,,"TURISMO, CULTURA "
DUTCH A COMPREHENSIVE GRAMMAR,MASSIMO WINSPEARE,PA-H17,,"IDIOMAS, HOLANDES"
DUTCH AN ESSENTIAL GRAMMAR,CAV,PA-H18,,"HOLANDES, EDUCACION"
MICHELANGELO,CAV,PA-H19,,"TURISMO, CULTURA, ITALIANO"
I MEDICI,COSAR EDITORES,PA-H20,,"TURISMO, CULTURA, ITALIANO"
BOLT ACTION,BRUCE DONALDSON,PA-H21,,JUEGO DE MESA
BAILAMOS UN POQUITO ?,JORGITO PARRILLERO,PA-H22,,COCINA
GRAMMATIK GANZ KLAR,HUEBER,PA-H23,,"IDIOMAS, ALEMAN"
BATMAN 8O ANIVERSARIO TOMO 12,DC COMICS,PA-H24,,COMIC 
MINIPEDIA TOMO 03,SCALE EDITIONS,PA-H25,,"MINIATURAS, PINTURA"
PANTHER VS T34,ROBERT FORCZYK,PA-H26,,"HISTORIA, REVISTA"
ARTE,WILLIAM Z. SHETTER,PA-H27,,"FOTOGRAFIA, ARTE"
IRON FIST TOMO 28,MARVEL,PA-H28,,COMIC 
LOS INHUMANOS TOMO 30,MARVEL,PA-H29,,COMIC 
HULK TOMO 04,MARVEL,PA-H30,,COMIC 
GUARDIANES DE LA GALAXIA TOMO 14,MARVEL,PA-H31,,COMIC 
PUNISHER TOMO 20,MARVEL ,PA-H32,,COMIC 
DOCTOR STRANGE TOMO 26,MARVEL,PA-H33,,COMIC 
